ARG, Exposure to risk (period 5x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1999        0           3289575.47      3455786.83      6745362.30
1990-1999      1-4          13274556.12     13819672.03     27094228.15
1990-1999      5-9          16461377.25     17021017.67     33482394.91
1990-1999     10-14         16333618.53     16794646.24     33128264.76
1990-1999     15-19         15693744.81     16028477.03     31722221.84
1990-1999     20-24         13807903.67     14014149.15     27822052.82
1990-1999     25-29         12287032.59     12368625.83     24655658.42
1990-1999     30-34         11597607.73     11430194.07     23027801.80
1990-1999     35-39         11111676.76     10714612.64     21826289.40
1990-1999     40-44         10379632.50      9974717.61     20354350.11
1990-1999     45-49          9314694.38      8952675.22     18267369.60
1990-1999     50-54          8245308.98      7834313.45     16079622.43
1990-1999     55-59          7505607.30      6894103.42     14399710.72
1990-1999     60-64          7006544.85      6128416.96     13134961.81
1990-1999     65-69          6320874.55      5174407.46     11495282.01
1990-1999     70-74          5174314.02      3844084.36      9018398.38
1990-1999     75-79          3724428.77      2442782.82      6167211.60
1990-1999     80-84          2499047.24      1373732.33      3872779.57
1990-1999     85-89          1250026.61       581998.50      1832025.11
1990-1999     90-94           397862.88       155180.04       553042.92
1990-1999     95-99            72883.26        25228.72        98111.97
1990-1999    100-104            6398.57         1935.57         8334.15
1990-1999    105-109             254.48           65.66          320.14
1990-1999    110+                  0.13            0.00            0.13
2000-2009        0           3407360.79      3594769.81      7002130.59
2000-2009      1-4          13457225.18     14120931.39     27578156.57
2000-2009      5-9          16828278.97     17499703.22     34327982.19
2000-2009     10-14         16872906.23     17447434.04     34320340.27
2000-2009     15-19         16478430.06     16967530.95     33445961.01
2000-2009     20-24         16259170.24     16585711.34     32844881.58
2000-2009     25-29         15530450.09     15694099.77     31224549.86
2000-2009     30-34         13686147.11     13734319.18     27420466.29
2000-2009     35-39         12162668.23     12094012.64     24256680.88
2000-2009     40-44         11433224.42     11109750.73     22542975.15
2000-2009     45-49         10883877.67     10309545.79     21193423.45
2000-2009     50-54         10058795.30      9392779.97     19451575.27
2000-2009     55-59          8889018.03      8154496.02     17043514.04
2000-2009     60-64          7703350.84      6785864.83     14489215.67
2000-2009     65-69          6786669.88      5548519.38     12335189.26
2000-2009     70-74          5996044.62      4417530.12     10413574.74
2000-2009     75-79          4890279.44      3146652.92      8036932.36
2000-2009     80-84          3156669.02      1735567.23      4892236.25
2000-2009     85-89          1669833.27       727775.21      2397608.48
2000-2009     90-94           681690.07       232377.33       914067.40
2000-2009     95-99           154522.28        42909.16       197431.44
2000-2009    100-104           16601.73         3825.88        20427.61
2000-2009    105-109             812.52          158.27          970.78
2000-2009    110+                  5.14            0.00            5.14
2010-2013        0           1447192.17      1529317.33      2976509.50
2010-2013      1-4           5647581.83      5962861.67     11610443.50
2010-2013      5-9           6767892.56      7139845.22     13907737.78
2010-2013     10-14          6671741.96      6953558.87     13625300.82
2010-2013     15-19          6777268.87      7001864.90     13779133.77
2010-2013     20-24          6671784.38      6850158.48     13521942.85
2010-2013     25-29          6428659.69      6545927.07     12974586.76
2010-2013     30-34          6511614.86      6560203.44     13071818.29
2010-2013     35-39          5753058.81      5756051.72     11509110.53
2010-2013     40-44          4946138.66      4910322.59      9856461.25
2010-2013     45-49          4583212.82      4478629.15      9061841.97
2010-2013     50-54          4358604.90      4072234.27      8430839.17
2010-2013     55-59          4063409.05      3697255.32      7760664.37
2010-2013     60-64          3579255.54      3148526.78      6727782.31
2010-2013     65-69          3009365.18      2507156.97      5516522.15
2010-2013     70-74          2527665.34      1900159.77      4427825.11
2010-2013     75-79          2119386.33      1378357.67      3497744.00
2010-2013     80-84          1593279.52       860570.73      2453850.25
2010-2013     85-89           851398.77       373130.73      1224529.50
2010-2013     90-94           258301.12        79908.40       338209.51
2010-2013     95-99            69934.53        16757.82        86692.35
2010-2013    100-104            9644.12         1859.93        11504.04
2010-2013    105-109             594.38           94.22          688.60
2010-2013    110+                  9.63            0.04            9.67
