ARG, Deaths (period 5x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1994        0             33256.00        43607.00        76863.00
1990-1994      1-4              5560.00         6626.00        12186.00
1990-1994      5-9              2070.00         2912.00         4982.00
1990-1994     10-14             2109.00         3569.00         5678.00
1990-1994     15-19             3407.00         7526.00        10933.00
1990-1994     20-24             3916.00         9115.00        13031.00
1990-1994     25-29             4260.00         8912.00        13172.00
1990-1994     30-34             5413.00         9755.00        15168.00
1990-1994     35-39             7680.00        12442.00        20122.00
1990-1994     40-44            10721.00        18477.00        29198.00
1990-1994     45-49            13642.00        25760.00        39402.00
1990-1994     50-54            17696.00        36357.00        54053.00
1990-1994     55-59            23831.00        50245.00        74076.00
1990-1994     60-64            34988.00        69595.00       104583.00
1990-1994     65-69            46860.00        82195.00       129055.00
1990-1994     70-74            59841.00        86590.00       146431.00
1990-1994     75-79            78312.00        85779.00       164091.00
1990-1994     80-84            88957.00        74177.00       163134.00
1990-1994     85-89            71314.00        45854.00       117168.00
1990-1994     90-94            35355.00        16921.00        52276.00
1990-1994     95-99             9359.73         3761.66        13121.39
1990-1994    100-104            1174.78          443.03         1617.81
1990-1994    105-109              70.50           28.01           98.51
1990-1994    110+                  0.00            0.00            0.00
1995-1999        0             29178.00        38181.00        67359.00
1995-1999      1-4              4884.00         6187.00        11071.00
1995-1999      5-9              1989.00         2821.00         4810.00
1995-1999     10-14             2157.00         3197.00         5354.00
1995-1999     15-19             3898.00         8982.00        12880.00
1995-1999     20-24             4468.00        11614.00        16082.00
1995-1999     25-29             4908.00        11597.00        16505.00
1995-1999     30-34             5767.00        11677.00        17444.00
1995-1999     35-39             7535.00        13645.00        21180.00
1995-1999     40-44            10837.00        18716.00        29553.00
1995-1999     45-49            15069.00        27924.00        42993.00
1995-1999     50-54            19702.00        38540.00        58242.00
1995-1999     55-59            24856.00        50630.00        75486.00
1995-1999     60-64            33811.00        67601.00       101412.00
1995-1999     65-69            49221.00        88086.00       137307.00
1995-1999     70-74            66596.00        99157.00       165753.00
1995-1999     75-79            82516.00        95127.00       177643.00
1995-1999     80-84            97637.00        81785.00       179422.00
1995-1999     85-89            89470.00        55715.00       145185.00
1995-1999     90-94            48308.00        22902.00        71210.00
1995-1999     95-99            14210.00         5428.00        19638.00
1995-1999    100-104            1693.12          476.17         2169.29
1995-1999    105-109              93.87           21.88          115.75
1995-1999    110+                  0.00            0.00            0.00
2000-2004        0             24844.00        31802.00        56646.00
2000-2004      1-4              4060.00         4946.00         9006.00
2000-2004      5-9              1907.00         2560.00         4467.00
2000-2004     10-14             2030.00         3010.00         5040.00
2000-2004     15-19             3523.00         8980.00        12503.00
2000-2004     20-24             4038.00        12324.00        16362.00
2000-2004     25-29             4511.00        11268.00        15779.00
2000-2004     30-34             5499.00        11359.00        16858.00
2000-2004     35-39             7090.00        12599.00        19689.00
2000-2004     40-44            10311.00        17227.00        27538.00
2000-2004     45-49            14942.00        26166.00        41108.00
2000-2004     50-54            21374.00        39066.00        60440.00
2000-2004     55-59            27071.00        51851.00        78922.00
2000-2004     60-64            34219.00        65940.00       100159.00
2000-2004     65-69            46605.00        82172.00       128777.00
2000-2004     70-74            68260.00       102848.00       171108.00
2000-2004     75-79            90550.00       108174.00       198724.00
2000-2004     80-84           105879.00        90638.00       196517.00
2000-2004     85-89           102362.00        62039.00       164401.00
2000-2004     90-94            65298.00        29608.00        94906.00
2000-2004     95-99            20806.00         7135.00        27941.00
2000-2004    100-104            3082.23          884.97         3967.20
2000-2004    105-109             192.06           53.05          245.11
2000-2004    110+                  2.73            0.00            2.73
2005-2009        0             20142.00        26128.00        46270.00
2005-2009      1-4              3581.00         4177.00         7758.00
2005-2009      5-9              1890.00         2420.00         4310.00
2005-2009     10-14             2136.00         3161.00         5297.00
2005-2009     15-19             3746.00         8957.00        12703.00
2005-2009     20-24             4034.00        11673.00        15707.00
2005-2009     25-29             4751.00        11737.00        16488.00
2005-2009     30-34             5654.00        11317.00        16971.00
2005-2009     35-39             7220.00        12639.00        19859.00
2005-2009     40-44             9895.00        16423.00        26318.00
2005-2009     45-49            14791.00        24649.00        39440.00
2005-2009     50-54            21518.00        38267.00        59785.00
2005-2009     55-59            29085.00        53546.00        82631.00
2005-2009     60-64            37760.00        68803.00       106563.00
2005-2009     65-69            47575.00        81977.00       129552.00
2005-2009     70-74            64244.00        96179.00       160423.00
2005-2009     75-79            93412.00       110133.00       203545.00
2005-2009     80-84           117999.00       102534.00       220533.00
2005-2009     85-89           113451.00        69576.00       183027.00
2005-2009     90-94            76099.00        31875.00       107974.00
2005-2009     95-99            28261.00         8844.00        37105.00
2005-2009    100-104            4222.00          992.35         5214.35
2005-2009    105-109             284.46           60.62          345.08
2005-2009    110+                  5.49            0.00            5.49
2010-2013        0             15162.00        19258.00        34420.00
2010-2013      1-4              2455.00         3095.00         5550.00
2010-2013      5-9              1245.00         1667.00         2912.00
2010-2013     10-14             1554.00         2270.00         3824.00
2010-2013     15-19             3183.00         8213.00        11396.00
2010-2013     20-24             3440.00        10864.00        14304.00
2010-2013     25-29             3752.00         9763.00        13515.00
2010-2013     30-34             5046.00        10186.00        15232.00
2010-2013     35-39             6251.00        10954.00        17205.00
2010-2013     40-44             8182.00        13419.00        21601.00
2010-2013     45-49            11807.00        19051.00        30858.00
2010-2013     50-54            17133.00        28834.00        45967.00
2010-2013     55-59            24424.00        42904.00        67328.00
2010-2013     60-64            33288.00        57723.00        91011.00
2010-2013     65-69            41884.00        70165.00       112049.00
2010-2013     70-74            53430.00        78330.00       131760.00
2010-2013     75-79            72058.00        85154.00       157212.00
2010-2013     80-84           100591.00        87624.00       188215.00
2010-2013     85-89           107794.00        66920.00       174714.00
2010-2013     90-94            71771.00        31282.00       103053.00
2010-2013     95-99            28084.00         8447.00        36531.00
2010-2013    100-104            4928.26         1145.02         6073.28
2010-2013    105-109             395.13           79.72          474.85
2010-2013    110+                 12.63            0.25           12.88
