ARG, Deaths (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1995-1999       30              1115.00         2563.00         3678.00
1995-1999       31              1056.00         2227.00         3283.00
1995-1999       32              1153.00         2275.00         3428.00
1995-1999       33              1193.00         2331.00         3524.00
1995-1999       34              1250.00         2281.00         3531.00
1995-1999       35              1339.00         2653.00         3992.00
1995-1999       36              1391.00         2606.00         3997.00
1995-1999       37              1434.00         2645.00         4079.00
1995-1999       38              1624.00         2781.00         4405.00
1995-1999       39              1747.00         2960.00         4707.00
1995-1999       40              1861.00         3439.00         5300.00
1995-1999       41              2021.00         3308.00         5329.00
1995-1999       42              2128.00         3694.00         5822.00
1995-1999       43              2358.00         3928.00         6286.00
1995-1999       44              2469.00         4347.00         6816.00
1995-1999       45              2697.00         4944.00         7641.00
1995-1999       46              2699.00         5166.00         7865.00
1995-1999       47              2952.00         5492.00         8444.00
1995-1999       48              3181.00         5944.00         9125.00
1995-1999       49              3540.00         6378.00         9918.00
1995-1999       50              3612.00         7355.00        10967.00
1995-1999       51              3851.00         7007.00        10858.00
1995-1999       52              3960.00         7528.00        11488.00
1995-1999       53              4039.00         8236.00        12275.00
1995-1999       54              4240.00         8414.00        12654.00
1995-1999       55              4395.00         9294.00        13689.00
1995-1999       56              4875.00         9696.00        14571.00
1995-1999       57              4937.00         9967.00        14904.00
1995-1999       58              5066.00        10619.00        15685.00
1995-1999       59              5583.00        11054.00        16637.00
1995-1999       60              5941.00        12484.00        18425.00
1995-1999       61              6192.00        12212.00        18404.00
1995-1999       62              6608.00        13298.00        19906.00
1995-1999       63              7086.00        14296.00        21382.00
1995-1999       64              7984.00        15311.00        23295.00
1995-1999       65              8574.00        16321.00        24895.00
1995-1999       66              9012.00        17010.00        26022.00
1995-1999       67              9889.00        17681.00        27570.00
1995-1999       68             10498.00        18419.00        28917.00
1995-1999       69             11248.00        18655.00        29903.00
1995-1999       70             11844.00        19352.00        31196.00
1995-1999       71             12312.00        19466.00        31778.00
1995-1999       72             13434.00        19830.00        33264.00
1995-1999       73             14179.00        19986.00        34165.00
1995-1999       74             14827.00        20523.00        35350.00
1995-1999       75             15556.00        20142.00        35698.00
1995-1999       76             16235.00        19798.00        36033.00
1995-1999       77             16269.00        18976.00        35245.00
1995-1999       78             16871.00        18294.00        35165.00
1995-1999       79             17585.00        17917.00        35502.00
1995-1999       80             18153.00        17200.00        35353.00
1995-1999       81             19111.00        16889.00        36000.00
1995-1999       82             19572.00        16641.00        36213.00
1995-1999       83             20269.00        15951.00        36220.00
1995-1999       84             20532.00        15104.00        35636.00
1995-1999       85             20425.00        14054.00        34479.00
1995-1999       86             19303.00        12799.00        32102.00
1995-1999       87             18026.00        11083.00        29109.00
1995-1999       88             16590.00         9545.00        26135.00
1995-1999       89             15126.00         8234.00        23360.00
1995-1999       90             13055.00         6900.00        19955.00
1995-1999       91             11276.00         5563.00        16839.00
1995-1999       92              9639.00         4376.00        14015.00
1995-1999       93              7886.00         3422.00        11308.00
1995-1999       94              6452.00         2641.00         9093.00
1995-1999       95              4946.00         2004.00         6950.00
1995-1999       96              3591.00         1282.00         4873.00
1995-1999       97              2567.00          966.00         3533.00
1995-1999       98              1744.00          596.00         2340.00
1995-1999       99              1362.00          580.00         1942.00
1995-1999      100               720.65          208.98          929.63
1995-1999      101               451.67          126.89          578.56
1995-1999      102               274.56           74.78          349.34
1995-1999      103               158.33           42.26          200.59
1995-1999      104                87.91           23.26          111.17
1995-1999      105                47.55           12.50           60.05
1995-1999      106                24.97            6.54           31.51
1995-1999      107                12.70            2.84           15.54
1995-1999      108                 6.27            0.00            6.27
1995-1999      109                 2.38            0.00            2.38
1995-1999      110+                0.00            0.00            0.00
2000-2004        0             24844.00        31802.00        56646.00
2000-2004        1              1709.00         1908.00         3617.00
2000-2004        2              1129.00         1403.00         2532.00
2000-2004        3               715.00          926.00         1641.00
2000-2004        4               507.00          709.00         1216.00
2000-2004        5               457.00          595.00         1052.00
2000-2004        6               368.00          529.00          897.00
2000-2004        7               395.00          488.00          883.00
2000-2004        8               338.00          470.00          808.00
2000-2004        9               349.00          478.00          827.00
2000-2004       10               365.00          470.00          835.00
2000-2004       11               354.00          475.00          829.00
2000-2004       12               388.00          552.00          940.00
2000-2004       13               424.00          665.00         1089.00
2000-2004       14               499.00          848.00         1347.00
2000-2004       15               647.00         1164.00         1811.00
2000-2004       16               667.00         1513.00         2180.00
2000-2004       17               738.00         1824.00         2562.00
2000-2004       18               716.00         2193.00         2909.00
2000-2004       19               755.00         2286.00         3041.00
2000-2004       20               779.00         2530.00         3309.00
2000-2004       21               779.00         2372.00         3151.00
2000-2004       22               788.00         2542.00         3330.00
2000-2004       23               845.00         2505.00         3350.00
2000-2004       24               847.00         2375.00         3222.00
2000-2004       25               896.00         2503.00         3399.00
2000-2004       26               839.00         2297.00         3136.00
2000-2004       27               849.00         2152.00         3001.00
2000-2004       28               924.00         2133.00         3057.00
2000-2004       29              1003.00         2183.00         3186.00
2000-2004       30              1068.00         2372.00         3440.00
2000-2004       31              1046.00         2262.00         3308.00
2000-2004       32              1064.00         2206.00         3270.00
2000-2004       33              1141.00         2241.00         3382.00
2000-2004       34              1180.00         2278.00         3458.00
2000-2004       35              1187.00         2508.00         3695.00
2000-2004       36              1315.00         2327.00         3642.00
2000-2004       37              1405.00         2470.00         3875.00
2000-2004       38              1567.00         2677.00         4244.00
2000-2004       39              1616.00         2617.00         4233.00
2000-2004       40              1788.00         3112.00         4900.00
2000-2004       41              1803.00         3056.00         4859.00
2000-2004       42              1988.00         3453.00         5441.00
2000-2004       43              2276.00         3614.00         5890.00
2000-2004       44              2456.00         3992.00         6448.00
2000-2004       45              2543.00         4535.00         7078.00
2000-2004       46              2785.00         4730.00         7515.00
2000-2004       47              2870.00         5095.00         7965.00
2000-2004       48              3277.00         5658.00         8935.00
2000-2004       49              3467.00         6148.00         9615.00
2000-2004       50              3765.00         7219.00        10984.00
2000-2004       51              3893.00         7043.00        10936.00
2000-2004       52              4340.00         7817.00        12157.00
2000-2004       53              4652.00         8181.00        12833.00
2000-2004       54              4724.00         8806.00        13530.00
2000-2004       55              5007.00         9533.00        14540.00
2000-2004       56              5184.00         9962.00        15146.00
2000-2004       57              5343.00        10329.00        15672.00
2000-2004       58              5625.00        10932.00        16557.00
2000-2004       59              5912.00        11095.00        17007.00
2000-2004       60              6162.00        12478.00        18640.00
2000-2004       61              6472.00        12175.00        18647.00
2000-2004       62              6644.00        13268.00        19912.00
2000-2004       63              7271.00        13783.00        21054.00
2000-2004       64              7670.00        14236.00        21906.00
2000-2004       65              8165.00        15283.00        23448.00
