ARG, Deaths (period 5x1), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
  1990           0              6598.00         8665.00        15263.00
  1990         1-4              1061.00         1311.00         2372.00
  1990         5-9               420.00          538.00          958.00
  1990        10-14              378.00          666.00         1044.00
  1990        15-19              584.00         1236.00         1820.00
  1990        20-24              737.00         1586.00         2323.00
  1990        25-29              791.00         1464.00         2255.00
  1990        30-34             1034.00         1680.00         2714.00
  1990        35-39             1490.00         2318.00         3808.00
  1990        40-44             1954.00         3370.00         5324.00
  1990        45-49             2560.00         4801.00         7361.00
  1990        50-54             3381.00         6926.00        10307.00
  1990        55-59             4784.00        10076.00        14860.00
  1990        60-64             6824.00        13533.00        20357.00
  1990        65-69             9003.00        15892.00        24895.00
  1990        70-74            11462.00        16367.00        27829.00
  1990        75-79            15944.00        17251.00        33195.00
  1990        80-84            16863.00        14093.00        30956.00
  1990        85-89            13817.00         8795.00        22612.00
  1990        90-94             6422.00         3177.00         9599.00
  1990        95-99             1782.00          706.00         2488.00
  1990       100-104             235.60           97.52          333.12
  1990       105-109              16.41            7.48           23.89
  1990       110+                  0.00            0.00            0.00
  1991           0              6855.00         9076.00        15931.00
  1991         1-4              1254.00         1384.00         2638.00
  1991         5-9               397.00          590.00          987.00
  1991        10-14              418.00          652.00         1070.00
  1991        15-19              659.00         1341.00         2000.00
  1991        20-24              702.00         1595.00         2297.00
  1991        25-29              876.00         1647.00         2523.00
  1991        30-34             1035.00         1843.00         2878.00
  1991        35-39             1526.00         2368.00         3894.00
  1991        40-44             2101.00         3552.00         5653.00
  1991        45-49             2614.00         5048.00         7662.00
  1991        50-54             3414.00         6990.00        10404.00
  1991        55-59             4690.00         9980.00        14670.00
  1991        60-64             6927.00        13570.00        20497.00
  1991        65-69             8996.00        15798.00        24794.00
  1991        70-74            11350.00        16283.00        27633.00
  1991        75-79            15337.00        16733.00        32070.00
  1991        80-84            16757.00        14061.00        30818.00
  1991        85-89            13514.00         8691.00        22205.00
  1991        90-94             6691.00         3193.00         9884.00
  1991        95-99             1805.73          717.66         2523.39
  1991       100-104             218.77           83.12          301.89
  1991       105-109              13.48            4.89           18.37
  1991       110+                  0.00            0.00            0.00
  1992           0              6977.00         8891.00        15868.00
  1992         1-4              1182.00         1376.00         2558.00
  1992         5-9               438.00          619.00         1057.00
  1992        10-14              445.00          759.00         1204.00
  1992        15-19              692.00         1561.00         2253.00
  1992        20-24              769.00         1843.00         2612.00
  1992        25-29              899.00         1868.00         2767.00
  1992        30-34             1125.00         1983.00         3108.00
  1992        35-39             1575.00         2627.00         4202.00
  1992        40-44             2226.00         3892.00         6118.00
  1992        45-49             2853.00         5340.00         8193.00
  1992        50-54             3602.00         7724.00        11326.00
  1992        55-59             4842.00        10338.00        15180.00
  1992        60-64             7168.00        14046.00        21214.00
  1992        65-69             9559.00        16858.00        26417.00
  1992        70-74            12076.00        17437.00        29513.00
  1992        75-79            16110.00        17347.00        33457.00
  1992        80-84            18176.00        15103.00        33279.00
  1992        85-89            14460.00         9230.00        23690.00
  1992        90-94             7429.00         3448.00        10877.00
  1992        95-99             1956.00          783.00         2739.00
  1992       100-104             218.22           84.31          302.53
  1992       105-109               8.79            4.70           13.49
  1992       110+                  0.00            0.00            0.00
  1993           0              6588.00         8600.00        15188.00
  1993         1-4              1089.00         1340.00         2429.00
  1993         5-9               433.00          603.00         1036.00
  1993        10-14              438.00          760.00         1198.00
  1993        15-19              744.00         1611.00         2355.00
  1993        20-24              841.00         1953.00         2794.00
  1993        25-29              815.00         1825.00         2640.00
  1993        30-34             1094.00         2004.00         3098.00
  1993        35-39             1537.00         2495.00         4032.00
  1993        40-44             2228.00         3837.00         6065.00
  1993        45-49             2717.00         5289.00         8006.00
  1993        50-54             3715.00         7409.00        11124.00
  1993        55-59             4851.00        10095.00        14946.00
  1993        60-64             7154.00        14670.00        21824.00
  1993        65-69             9804.00        17149.00        26953.00
  1993        70-74            12622.00        18548.00        31170.00
  1993        75-79            16118.00        17976.00        34094.00
  1993        80-84            18996.00        15958.00        34954.00
  1993        85-89            15082.00         9934.00        25016.00
  1993        90-94             7620.00         3605.00        11225.00
  1993        95-99             1909.00          773.00         2682.00
  1993       100-104             242.72          105.10          347.82
  1993       105-109              14.29            6.90           21.19
  1993       110+                  0.00            0.00            0.00
  1994           0              6238.00         8375.00        14613.00
  1994         1-4               974.00         1215.00         2189.00
  1994         5-9               382.00          562.00          944.00
  1994        10-14              430.00          732.00         1162.00
  1994        15-19              728.00         1777.00         2505.00
  1994        20-24              867.00         2138.00         3005.00
  1994        25-29              879.00         2108.00         2987.00
  1994        30-34             1125.00         2245.00         3370.00
  1994        35-39             1552.00         2634.00         4186.00
  1994        40-44             2212.00         3826.00         6038.00
  1994        45-49             2898.00         5282.00         8180.00
  1994        50-54             3584.00         7308.00        10892.00
  1994        55-59             4664.00         9756.00        14420.00
  1994        60-64             6915.00        13776.00        20691.00
  1994        65-69             9498.00        16498.00        25996.00
  1994        70-74            12331.00        17955.00        30286.00
  1994        75-79            14803.00        16472.00        31275.00
  1994        80-84            18165.00        14962.00        33127.00
