ARG, Death rates (period 5x1), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
  1990           0             0.019158        0.024260        0.021756
  1990         1-4             0.000805        0.000962        0.000885
  1990         5-9             0.000260        0.000323        0.000292
  1990        10-14            0.000230        0.000395        0.000314
  1990        15-19            0.000420        0.000872        0.000649
  1990        20-24            0.000601        0.001275        0.000941
  1990        25-29            0.000677        0.001255        0.000966
  1990        30-34            0.000918        0.001549        0.001228
  1990        35-39            0.001400        0.002247        0.001817
  1990        40-44            0.002045        0.003634        0.002828
  1990        45-49            0.003044        0.005867        0.004436
  1990        50-54            0.004398        0.009501        0.006881
  1990        55-59            0.006528        0.014979        0.010572
  1990        60-64            0.009912        0.022295        0.015714
  1990        65-69            0.015321        0.032923        0.023260
  1990        70-74            0.024761        0.047831        0.034566
  1990        75-79            0.046282        0.076287        0.058172
  1990        80-84            0.080278        0.117665        0.093855
  1990        85-89            0.143603        0.186491        0.157710
  1990        90-94            0.234349        0.276544        0.246813
  1990        95-99            0.364670        0.383574        0.369842
  1990       100-104           0.559788        0.599902        0.570965
  1990       105-109           0.949012        1.148414        1.003571
  1990       110+                    .              .              .
  1991           0             0.020402        0.025793        0.023160
  1991         1-4             0.000937        0.001000        0.000969
  1991         5-9             0.000247        0.000355        0.000302
  1991        10-14            0.000252        0.000384        0.000319
  1991        15-19            0.000457        0.000912        0.000687
  1991        20-24            0.000563        0.001260        0.000914
  1991        25-29            0.000745        0.001397        0.001072
  1991        30-34            0.000913        0.001681        0.001290
  1991        35-39            0.001415        0.002272        0.001836
  1991        40-44            0.002150        0.003753        0.002939
  1991        45-49            0.003044        0.006051        0.004525
  1991        50-54            0.004400        0.009483        0.006876
  1991        55-59            0.006388        0.014825        0.010424
  1991        60-64            0.009979        0.022214        0.015706
  1991        65-69            0.014961        0.031964        0.022632
  1991        70-74            0.024012        0.046406        0.033553
  1991        75-79            0.043668        0.073008        0.055254
  1991        80-84            0.075581        0.112454        0.088877
  1991        85-89            0.133978        0.176530        0.147935
  1991        90-94            0.223766        0.259928        0.234296
  1991        95-99            0.348940        0.373087        0.355483
  1991       100-104           0.507422        0.524720        0.512070
  1991       105-109           0.881814        0.849450        0.872961
  1991       110+                    .              .              .
  1992           0             0.021195        0.025638        0.023475
  1992         1-4             0.000878        0.000986        0.000933
  1992         5-9             0.000272        0.000373        0.000323
  1992        10-14            0.000269        0.000447        0.000359
  1992        15-19            0.000462        0.001022        0.000745
  1992        20-24            0.000604        0.001426        0.001018
  1992        25-29            0.000760        0.001571        0.001167
  1992        30-34            0.000985        0.001787        0.001380
  1992        35-39            0.001444        0.002502        0.001963
  1992        40-44            0.002230        0.004031        0.003116
  1992        45-49            0.003248        0.006276        0.004738
  1992        50-54            0.004589        0.010342        0.007394
  1992        55-59            0.006582        0.015338        0.010768
  1992        60-64            0.010278        0.022934        0.016196
  1992        65-69            0.015560        0.033376        0.023598
  1992        70-74            0.025036        0.048521        0.035063
  1992        75-79            0.045252        0.074771        0.056898
  1992        80-84            0.077778        0.115468        0.091303
  1992        85-89            0.136219        0.179595        0.150369
  1992        90-94            0.229771        0.264123        0.239652
  1992        95-99            0.357186        0.388505        0.365612
  1992       100-104           0.469423        0.519124        0.482291
  1992       105-109           0.511443        0.781380        0.581424
  1992       110+                    .              .              .
  1993           0             0.020388        0.025261        0.022888
  1993         1-4             0.000811        0.000959        0.000886
  1993         5-9             0.000268        0.000361        0.000315
  1993        10-14            0.000266        0.000450        0.000359
  1993        15-19            0.000479        0.001017        0.000750
  1993        20-24            0.000645        0.001476        0.001064
  1993        25-29            0.000684        0.001520        0.001104
  1993        30-34            0.000952        0.001782        0.001363
  1993        35-39            0.001396        0.002362        0.001869
  1993        40-44            0.002188        0.003902        0.003030
  1993        45-49            0.003021        0.006093        0.004530
  1993        50-54            0.004667        0.009770        0.007157
  1993        55-59            0.006574        0.014938        0.010572
  1993        60-64            0.010233        0.023962        0.016643
  1993        65-69            0.015660        0.033331        0.023631
  1993        70-74            0.025564        0.050380        0.036164
  1993        75-79            0.044750        0.076475        0.057278
  1993        80-84            0.077591        0.117683        0.091882
  1993        85-89            0.134717        0.185699        0.151201
  1993        90-94            0.218666        0.259502        0.230305
  1993        95-99            0.331194        0.368067        0.341041
  1993       100-104           0.484577        0.676849        0.530077
  1993       105-109           0.704114        1.348095        0.833814
  1993       110+                    .              .              .
  1994           0             0.019341        0.024657        0.022068
  1994         1-4             0.000733        0.000876        0.000806
  1994         5-9             0.000233        0.000332        0.000284
  1994        10-14            0.000264        0.000437        0.000352
  1994        15-19            0.000455        0.001089        0.000775
  1994        20-24            0.000647        0.001571        0.001112
  1994        25-29            0.000730        0.001737        0.001236
  1994        30-34            0.000974        0.001971        0.001469
  1994        35-39            0.001398        0.002478        0.001926
  1994        40-44            0.002134        0.003829        0.002966
  1994        45-49            0.003147        0.005962        0.004528
  1994        50-54            0.004429        0.009472        0.006890
  1994        55-59            0.006290        0.014359        0.010148
  1994        60-64            0.009876        0.022521        0.015772
  1994        65-69            0.014935        0.031587        0.022444
  1994        70-74            0.024290        0.047464        0.034184
  1994        75-79            0.040638        0.068958        0.051854
  1994        80-84            0.071191        0.106816        0.083816
  1994        85-89            0.121315        0.164154        0.135032
  1994        90-94            0.188902        0.232441        0.201235
  1994        95-99            0.302263        0.343944        0.313305
  1994       100-104           0.484973        0.481213        0.484142
  1994       105-109           0.871489        1.056670        0.901065
  1994       110+                    .              .              .
  1995           0             0.020162        0.024861        0.022572
  1995         1-4             0.000759        0.000889        0.000825
  1995         5-9             0.000231        0.000312        0.000272
  1995        10-14            0.000281        0.000395        0.000339
  1995        15-19            0.000471        0.001046        0.000762
  1995        20-24            0.000624        0.001573        0.001102
  1995        25-29            0.000838        0.001833        0.001338
  1995        30-34            0.000993        0.001930        0.001459
  1995        35-39            0.001351        0.002598        0.001961
  1995        40-44            0.002100        0.003672        0.002871
  1995        45-49            0.003183        0.006107        0.004615
  1995        50-54            0.004646        0.009538        0.007034
  1995        55-59            0.006473        0.014691        0.010405
  1995        60-64            0.009661        0.022992        0.015872
  1995        65-69            0.015212        0.033221        0.023326
  1995        70-74            0.025277        0.049693        0.035690
  1995        75-79            0.043530        0.073648        0.055507
  1995        80-84            0.074760        0.115827        0.089259
  1995        85-89            0.130076        0.174492        0.144159
  1995        90-94            0.213534        0.251068        0.224127
  1995        95-99            0.321117        0.363697        0.332280
  1995       100-104           0.441888        0.443305        0.442205
  1995       105-109           0.657788        0.807968        0.682711
  1995       110+                    .              .              .
  1996           0             0.018878        0.024019        0.021514
  1996         1-4             0.000777        0.000941        0.000861
