ARG, Exposure to risk (period 5x1), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
  1990           0            344398.80       357165.00       701563.80
  1990         1-4           1317322.89      1362126.00      2679448.89
  1990         5-9           1615879.17      1666867.71      3282746.87
  1990        10-14          1644593.99      1684015.03      3328609.02
  1990        15-19          1389216.82      1416977.61      2806194.43
  1990        20-24          1225452.66      1243740.66      2469193.32
  1990        25-29          1168614.54      1166720.89      2335335.44
  1990        30-34          1126033.21      1084681.42      2210714.63
  1990        35-39          1063927.89      1031594.31      2095522.20
  1990        40-44           955488.33       927346.78      1882835.10
  1990        45-49           841087.98       818368.14      1659456.11
  1990        50-54           768791.99       728999.97      1497791.96
  1990        55-59           732898.81       672687.01      1405585.82
  1990        60-64           688460.82       607000.80      1295461.62
  1990        65-69           587609.34       482702.56      1070311.90
  1990        70-74           462908.46       342185.90       805094.36
  1990        75-79           344500.00       226133.09       570633.09
  1990        80-84           210057.39       119772.11       329829.49
  1990        85-89            96216.92        47160.47       143377.40
  1990        90-94            27403.54        11488.24        38891.79
  1990        95-99             4886.60         1840.58         6727.19
  1990       100-104             420.87          162.56          583.43
  1990       105-109              17.29            6.51           23.81
  1990       110+                  0.00            0.00            0.00
  1991           0            336000.75       351872.64       687873.38
  1991         1-4           1338120.76      1383804.75      2721925.52
  1991         5-9           1608023.79      1660175.67      3268199.46
  1991        10-14          1658260.96      1699482.59      3357743.54
  1991        15-19          1441315.43      1470150.95      2911466.38
  1991        20-24          1246780.53      1266100.61      2512881.13
  1991        25-29          1175388.17      1178644.33      2354032.50
  1991        30-34          1134060.14      1096388.12      2230448.26
  1991        35-39          1078429.45      1042290.41      2120719.86
  1991        40-44           977153.68       946549.16      1923702.83
  1991        45-49           858871.24       834302.09      1693173.32
  1991        50-54           775995.72       737077.17      1513072.89
  1991        55-59           734171.25       673177.28      1407348.52
  1991        60-64           694160.59       610873.33      1305033.92
  1991        65-69           601288.05       494238.08      1095526.13
  1991        70-74           472687.15       350881.71       823568.86
  1991        75-79           351215.24       229193.08       580408.32
  1991        80-84           221710.17       125038.02       346748.19
  1991        85-89           100867.05        49232.37       150099.42
  1991        90-94            29901.82        12284.15        42185.97
  1991        95-99             5174.90         1923.58         7098.48
  1991       100-104             431.14          158.41          589.55
  1991       105-109              15.29            5.76           21.04
  1991       110+                  0.00            0.00            0.00
  1992           0            329175.65       346783.61       675959.26
  1992         1-4           1346673.08      1395987.13      2742660.21
  1992         5-9           1607852.09      1660771.30      3268623.38
  1992        10-14          1656993.54      1699824.88      3356818.42
  1992        15-19          1498008.39      1527966.16      3025974.55
  1992        20-24          1272459.10      1292264.06      2564723.16
  1992        25-29          1182648.06      1189316.27      2371964.33
  1992        30-34          1141565.03      1109905.82      2251470.85
  1992        35-39          1090743.06      1050042.67      2140785.73
  1992        40-44           998163.08       965423.83      1963586.90
  1992        45-49           878382.41       850862.21      1729244.62
  1992        50-54           784979.15       746838.38      1531817.53
  1992        55-59           735683.46       674025.30      1409708.75
  1992        60-64           697420.14       612441.87      1309862.01
  1992        65-69           614343.46       505095.52      1119438.98
  1992        70-74           482350.89       359367.87       841718.76
  1992        75-79           356009.30       232002.72       588012.02
  1992        80-84           233689.95       130798.17       364488.12
  1992        85-89           106152.51        51393.32       157545.83
  1992        90-94            32332.19        13054.53        45386.72
  1992        95-99             5476.13         2015.42         7491.55
  1992       100-104             464.87          162.41          627.28
  1992       105-109              17.19            6.02           23.20
  1992       110+                  0.00            0.00            0.00
  1993           0            323133.68       340443.43       663577.12
  1993         1-4           1343472.67      1397588.91      2741061.57
  1993         5-9           1617447.62      1670961.46      3288409.08
  1993        10-14          1645434.16      1689755.92      3335190.07
  1993        15-19          1553407.61      1584633.81      3138041.43
  1993        20-24          1303468.92      1323503.83      2626972.75
  1993        25-29          1191621.49      1200386.36      2392007.85
  1993        30-34          1148704.15      1124528.05      2273232.20
  1993        35-39          1101282.31      1056410.64      2157692.94
  1993        40-44          1018155.55       983278.67      2001434.23
  1993        45-49           899250.64       868097.91      1767348.55
  1993        50-54           795961.48       758309.30      1554270.78
  1993        55-59           737930.33       675776.10      1413706.42
  1993        60-64           699083.24       612213.19      1311296.43
  1993        65-69           626056.01       514505.09      1140561.11
  1993        70-74           493736.70       368163.88       861900.58
  1993        75-79           360179.94       235058.56       595238.50
  1993        80-84           244822.69       135601.81       380424.50
  1993        85-89           111953.16        53495.18       165448.34
  1993        90-94            34847.70        13891.98        48739.68
  1993        95-99             5763.99         2100.16         7864.15
  1993       100-104             500.89          155.28          656.17
  1993       105-109              20.30            5.12           25.41
  1993       110+                  0.00            0.00            0.00
  1994           0            322519.03       339654.13       662173.16
  1994         1-4           1329333.38      1387295.39      2716628.76
  1994         5-9           1637116.52      1691098.91      3328215.42
  1994        10-14          1629896.29      1675619.53      3305515.82
  1994        15-19          1599898.26      1632465.82      3232364.08
  1994        20-24          1340747.92      1360960.30      2701708.21
  1994        25-29          1203735.92      1213676.62      2417412.54
  1994        30-34          1155562.77      1138864.40      2294427.17
  1994        35-39          1110513.81      1063120.50      2173634.30
  1994        40-44          1036669.91       999222.21      2035892.12
  1994        45-49           920773.79       885949.58      1806723.37
  1994        50-54           809183.68       771557.87      1580741.55
  1994        55-59           741541.00       679412.49      1420953.49
  1994        60-64           700168.37       611699.93      1311868.30
  1994        65-69           635945.33       522305.21      1158250.54
  1994        70-74           507667.44       378290.17       885957.61
  1994        75-79           364260.98       238871.03       603132.02
  1994        80-84           255160.26       140072.20       395232.46
  1994        85-89           119037.69        56069.18       175106.86
  1994        90-94            38077.97        15048.95        53126.92
  1994        95-99             6309.07         2273.63         8582.70
  1994       100-104             535.02          151.66          686.68
  1994       105-109              20.12            3.82           23.94
  1994       110+                  0.00            0.00            0.00
  1995           0            320943.01       337919.54       658862.55
  1995         1-4           1317057.31      1377328.67      2694385.99
  1995         5-9           1657500.67      1712564.94      3370065.60
  1995        10-14          1616630.99      1663706.11      3280337.10
  1995        15-19          1632602.77      1666529.93      3299132.70
  1995        20-24          1384054.01      1404512.84      2788566.85
  1995        25-29          1220121.00      1230708.05      2450829.05
  1995        30-34          1162290.01      1152059.86      2314349.86
  1995        35-39          1118838.47      1071121.40      2189959.87
  1995        40-44          1053319.27      1012716.60      2066035.87
  1995        45-49           942261.55       904009.24      1846270.78
  1995        50-54           824512.47       786033.90      1610546.37
  1995        55-59           746762.49       685051.91      1431814.41
  1995        60-64           701368.71       611728.12      1313096.84
  1995        65-69           643573.05       527702.48      1171275.53
  1995        70-74           523407.13       389213.40       912620.52
  1995        75-79           368569.22       243319.39       611888.60
  1995        80-84           262840.33       143437.56       406277.88
  1995        85-89           126933.22        58931.11       185864.33
  1995        90-94            41089.42        16154.97        57244.40
  1995        95-99             7150.04         2540.58         9690.62
  1995       100-104             593.34          170.61          763.95
  1995       105-109              21.03            4.18           25.21
  1995       110+                  0.00            0.00            0.00
  1996           0            321599.11       338564.06       660163.17
  1996         1-4           1311390.75      1371594.10      2682984.86
  1996         5-9           1670912.15      1728444.62      3399356.77
  1996        10-14          1609734.48      1658087.65      3267822.12
  1996        15-19          1650322.87      1685726.67      3336049.54
  1996        20-24          1432365.56      1453238.40      2885603.97
  1996        25-29          1241361.26      1252301.55      2493662.80
  1996        30-34          1169242.29      1163987.66      2333229.95
  1996        35-39          1126477.05      1080881.86      2207358.91
  1996        40-44          1067956.09      1023655.65      2091611.74
  1996        45-49           963525.52       922000.33      1885525.85
  1996        50-54           841699.48       801407.04      1643106.51
