ARG, Death rates (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1994        0             0.020091        0.025120        0.022666
1990-1994        1             0.001705        0.001880        0.001794
1990-1994        2             0.000829        0.000888        0.000859
1990-1994        3             0.000447        0.000612        0.000531
1990-1994        4             0.000347        0.000435        0.000392
1990-1994        5             0.000302        0.000353        0.000328
1990-1994        6             0.000254        0.000340        0.000298
1990-1994        7             0.000219        0.000348        0.000285
1990-1994        8             0.000223        0.000319        0.000272
1990-1994        9             0.000280        0.000384        0.000333
1990-1994       10             0.000246        0.000357        0.000302
1990-1994       11             0.000205        0.000353        0.000280
1990-1994       12             0.000235        0.000379        0.000308
1990-1994       13             0.000272        0.000458        0.000366
1990-1994       14             0.000323        0.000566        0.000446
1990-1994       15             0.000383        0.000694        0.000540
1990-1994       16             0.000431        0.000884        0.000660
1990-1994       17             0.000477        0.000998        0.000740
1990-1994       18             0.000481        0.001109        0.000798
1990-1994       19             0.000517        0.001300        0.000912
1990-1994       20             0.000571        0.001364        0.000971
1990-1994       21             0.000591        0.001359        0.000978
1990-1994       22             0.000618        0.001399        0.001011
1990-1994       23             0.000649        0.001482        0.001068
1990-1994       24             0.000640        0.001429        0.001037
1990-1994       25             0.000635        0.001516        0.001078
1990-1994       26             0.000693        0.001483        0.001090
1990-1994       27             0.000683        0.001451        0.001068
1990-1994       28             0.000794        0.001481        0.001138
1990-1994       29             0.000795        0.001560        0.001177
1990-1994       30             0.000837        0.001825        0.001328
1990-1994       31             0.000863        0.001617        0.001237
1990-1994       32             0.000957        0.001634        0.001291
1990-1994       33             0.001029        0.001754        0.001385
1990-1994       34             0.001062        0.001957        0.001500
1990-1994       35             0.001176        0.002158        0.001657
1990-1994       36             0.001204        0.002024        0.001606
1990-1994       37             0.001416        0.002350        0.001874
1990-1994       38             0.001628        0.002477        0.002045
1990-1994       39             0.001645        0.002876        0.002250
1990-1994       40             0.001885        0.003433        0.002646
1990-1994       41             0.001940        0.003358        0.002638
1990-1994       42             0.002202        0.003828        0.003001
1990-1994       43             0.002340        0.004100        0.003205
1990-1994       44             0.002418        0.004508        0.003445
1990-1994       45             0.002666        0.005242        0.003933
1990-1994       46             0.002893        0.005465        0.004158
1990-1994       47             0.003148        0.005988        0.004545
1990-1994       48             0.003294        0.006498        0.004870
1990-1994       49             0.003565        0.007187        0.005346
1990-1994       50             0.004042        0.008603        0.006280
1990-1994       51             0.004219        0.008608        0.006366
1990-1994       52             0.004605        0.009588        0.007035
1990-1994       53             0.004597        0.010498        0.007464
1990-1994       54             0.005065        0.011455        0.008157
1990-1994       55             0.005409        0.012899        0.009019
1990-1994       56             0.005847        0.013291        0.009421
1990-1994       57             0.006541        0.014475        0.010335
1990-1994       58             0.007051        0.016466        0.011535
1990-1994       59             0.007566        0.017523        0.012289
1990-1994       60             0.008374        0.020430        0.014066
