ARG, Deaths (period 1x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1999        0             62434.00        81788.00       144222.00
1990-1999        1              5083.00         5997.00        11080.00
1990-1999        2              2674.00         3137.00         5811.00
1990-1999        3              1549.00         2079.00         3628.00
1990-1999        4              1138.00         1600.00         2738.00
1990-1999        5               935.00         1241.00         2176.00
1990-1999        6               836.00         1144.00         1980.00
1990-1999        7               758.00         1140.00         1898.00
1990-1999        8               707.00         1051.00         1758.00
1990-1999        9               823.00         1157.00         1980.00
1990-1999       10               791.00         1103.00         1894.00
1990-1999       11               728.00         1117.00         1845.00
1990-1999       12               779.00         1211.00         1990.00
1990-1999       13               878.00         1525.00         2403.00
1990-1999       14              1090.00         1810.00         2900.00
1990-1999       15              1277.00         2306.00         3583.00
1990-1999       16              1439.00         2915.00         4354.00
1990-1999       17              1517.00         3408.00         4925.00
1990-1999       18              1515.00         3779.00         5294.00
1990-1999       19              1557.00         4100.00         5657.00
1990-1999       20              1694.00         4296.00         5990.00
1990-1999       21              1639.00         4053.00         5692.00
1990-1999       22              1685.00         4070.00         5755.00
1990-1999       23              1681.00         4247.00         5928.00
1990-1999       24              1685.00         4063.00         5748.00
1990-1999       25              1739.00         4288.00         6027.00
1990-1999       26              1764.00         4111.00         5875.00
1990-1999       27              1803.00         4031.00         5834.00
1990-1999       28              1881.00         4036.00         5917.00
1990-1999       29              1981.00         4043.00         6024.00
1990-1999       30              2085.00         4653.00         6738.00
1990-1999       31              2049.00         4050.00         6099.00
1990-1999       32              2245.00         4088.00         6333.00
1990-1999       33              2358.00         4248.00         6606.00
1990-1999       34              2443.00         4393.00         6836.00
1990-1999       35              2649.00         4958.00         7607.00
1990-1999       36              2719.00         4750.00         7469.00
1990-1999       37              2979.00         5114.00         8093.00
1990-1999       38              3377.00         5356.00         8733.00
1990-1999       39              3491.00         5909.00         9400.00
1990-1999       40              3824.00         6899.00        10723.00
1990-1999       41              4001.00         6624.00        10625.00
1990-1999       42              4326.00         7388.00        11714.00
1990-1999       43              4639.00         7791.00        12430.00
1990-1999       44              4768.00         8491.00        13259.00
1990-1999       45              5167.00         9643.00        14810.00
1990-1999       46              5309.00         9940.00        15249.00
1990-1999       47              5717.00        10588.00        16305.00
1990-1999       48              6000.00        11331.00        17331.00
1990-1999       49              6518.00        12182.00        18700.00
1990-1999       50              6913.00        14120.00        21033.00
1990-1999       51              7226.00        13601.00        20827.00
1990-1999       52              7575.00        14691.00        22266.00
1990-1999       53              7589.00        15895.00        23484.00
1990-1999       54              8095.00        16590.00        24685.00
1990-1999       55              8460.00        18316.00        26776.00
1990-1999       56              9222.00        18820.00        28042.00
1990-1999       57              9752.00        19733.00        29485.00
1990-1999       58             10207.00        21537.00        31744.00
1990-1999       59             11046.00        22469.00        33515.00
1990-1999       60             11926.00        25544.00        37470.00
1990-1999       61             12683.00        25293.00        37976.00
1990-1999       62             13661.00        27252.00        40913.00
1990-1999       63             14570.00        28608.00        43178.00
1990-1999       64             15959.00        30499.00        46458.00
1990-1999       65             16866.00        32100.00        48966.00
1990-1999       66             17676.00        32635.00        50311.00
1990-1999       67             19134.00        34105.00        53239.00
1990-1999       68             20433.00        35308.00        55741.00
1990-1999       69             21972.00        36133.00        58105.00
1990-1999       70             22976.00        37423.00        60399.00
1990-1999       71             23837.00        36836.00        60673.00
1990-1999       72             25398.00        37301.00        62699.00
1990-1999       73             26413.00        36771.00        63184.00
1990-1999       74             27813.00        37416.00        65229.00
1990-1999       75             29504.00        36993.00        66497.00
1990-1999       76             30997.00        36863.00        67860.00
1990-1999       77             31791.00        36300.00        68091.00
1990-1999       78             33653.00        35822.00        69475.00
1990-1999       79             34883.00        34928.00        69811.00
1990-1999       80             36244.00        34069.00        70313.00
1990-1999       81             37010.00        32559.00        69569.00
1990-1999       82             37664.00        31688.00        69352.00
1990-1999       83             38063.00        29824.00        67887.00
1990-1999       84             37613.00        27822.00        65435.00
1990-1999       85             36949.00        25670.00        62619.00
1990-1999       86             34754.00        23115.00        57869.00
1990-1999       87             32303.00        20152.00        52455.00
1990-1999       88             29771.00        17471.00        47242.00
1990-1999       89             27007.00        15161.00        42168.00
1990-1999       90             23318.00        12103.00        35421.00
1990-1999       91             19867.00         9848.00        29715.00
1990-1999       92             16605.00         7619.00        24224.00
1990-1999       93             13171.00         5800.00        18971.00
1990-1999       94             10702.00         4453.00        15155.00
1990-1999       95              8076.00         3312.00        11388.00
1990-1999       96              5901.00         2211.00         8112.00
1990-1999       97              4266.00         1588.00         5854.00
1990-1999       98              2939.00         1027.00         3966.00
1990-1999       99              2387.73         1051.66         3439.39
1990-1999      100              1217.57          393.60         1611.17
1990-1999      101               764.25          244.16         1008.41
1990-1999      102               464.62          147.12          611.74
1990-1999      103               270.00           85.67          355.67
1990-1999      104               151.46           48.65          200.11
1990-1999      105                82.66           27.03          109.69
1990-1999      106                43.83           14.63           58.46
1990-1999      107                22.57            7.26           29.83
1990-1999      108                11.08            0.97           12.05
1990-1999      109                 4.23            0.00            4.23
1990-1999      110+                0.00            0.00            0.00
2000-2009        0             44986.00        57930.00       102916.00
