ARG, Death rates (period 5x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1994        0             0.020091        0.025120        0.022666
1990-1994      1-4             0.000833        0.000957        0.000896
1990-1994      5-9             0.000256        0.000349        0.000303
1990-1994     10-14            0.000256        0.000422        0.000340
1990-1994     15-19            0.000455        0.000986        0.000723
1990-1994     20-24            0.000613        0.001405        0.001012
1990-1994     25-29            0.000719        0.001498        0.001110
1990-1994     30-34            0.000949        0.001756        0.001347
1990-1994     35-39            0.001410        0.002373        0.001883
1990-1994     40-44            0.002150        0.003832        0.002977
1990-1994     45-49            0.003102        0.006050        0.004552
1990-1994     50-54            0.004497        0.009714        0.007040
1990-1994     55-59            0.006472        0.014887        0.010496
1990-1994     60-64            0.010056        0.022786        0.016007
1990-1994     65-69            0.015288        0.032632        0.023111
1990-1994     70-74            0.024734        0.048135        0.034714
1990-1994     75-79            0.044090        0.073867        0.055862
1990-1994     80-84            0.076329        0.113894        0.089796
1990-1994     85-89            0.133490        0.178177        0.148018
1990-1994     90-94            0.217485        0.257284        0.228948
1990-1994     95-99            0.338989        0.370484        0.347457
1990-1994    100-104           0.499313        0.560575        0.514717
1990-1994    105-109           0.781813        1.028771        0.839085
1990-1994    110+                    .              .              .
1995-1999        0             0.017853        0.022200        0.020082
1995-1999      1-4             0.000740        0.000898        0.000821
1995-1999      5-9             0.000237        0.000325        0.000282
1995-1999     10-14            0.000266        0.000383        0.000326
1995-1999     15-19            0.000475        0.001070        0.000776
1995-1999     20-24            0.000602        0.001543        0.001076
1995-1999     25-29            0.000771        0.001806        0.001291
1995-1999     30-34            0.000979        0.001987        0.001482
1995-1999     35-39            0.001330        0.002494        0.001902
1995-1999     40-44            0.002009        0.003632        0.002802
1995-1999     45-49            0.003065        0.005947        0.004473
1995-1999     50-54            0.004571        0.009419        0.006932
1995-1999     55-59            0.006501        0.014388        0.010281
1995-1999     60-64            0.009586        0.021990        0.015362
1995-1999     65-69            0.015119        0.033170        0.023228
1995-1999     70-74            0.024173        0.048483        0.034531
1995-1999     75-79            0.042354        0.074230        0.055001
1995-1999     80-84            0.073213        0.113205        0.087265
1995-1999     85-89            0.124993        0.171617        0.139541
1995-1999     90-94            0.205304        0.256140        0.219302
1995-1999     95-99            0.313877        0.360058        0.325413
1995-1999    100-104           0.418491        0.415774        0.417891
1995-1999    105-109           0.571333        0.569248        0.570938
1995-1999    110+              0.000000              .        0.000000
2000-2004        0             0.014829        0.018017        0.016464
2000-2004      1-4             0.000608        0.000710        0.000660
2000-2004      5-9             0.000225        0.000291        0.000259
2000-2004     10-14            0.000242        0.000347        0.000295
2000-2004     15-19            0.000435        0.001079        0.000761
2000-2004     20-24            0.000494        0.001482        0.000992
2000-2004     25-29            0.000612        0.001515        0.001065
2000-2004     30-34            0.000868        0.001788        0.001329
2000-2004     35-39            0.001211        0.002172        0.001689
2000-2004     40-44            0.001835        0.003202        0.002504
2000-2004     45-49            0.002805        0.005200        0.003969
2000-2004     50-54            0.004432        0.008641        0.006469
2000-2004     55-59            0.006458        0.013422        0.009798
2000-2004     60-64            0.009320        0.020452        0.014525
2000-2004     65-69            0.014044        0.030485        0.021413
2000-2004     70-74            0.023105        0.047314        0.033367
2000-2004     75-79            0.038692        0.071590        0.051600
2000-2004     80-84            0.075152        0.116388        0.089832
2000-2004     85-89            0.124325        0.173985        0.139332
2000-2004     90-94            0.203094        0.262513        0.218525
2000-2004     95-99            0.316053        0.373540        0.328982
2000-2004    100-104           0.455446        0.522138        0.468804
2000-2004    105-109           0.637244        0.822035        0.669834
2000-2004    110+              2.629213              .        2.629213
2005-2009        0             0.011629        0.014280        0.012991
2005-2009      1-4             0.000528        0.000584        0.000557
2005-2009      5-9             0.000226        0.000278        0.000253
2005-2009     10-14            0.000252        0.000360        0.000307
2005-2009     15-19            0.000447        0.001036        0.000746
2005-2009     20-24            0.000499        0.001412        0.000961
2005-2009     25-29            0.000582        0.001422        0.001005
2005-2009     30-34            0.000769        0.001533        0.001152
2005-2009     35-39            0.001145        0.002008        0.001576
2005-2009     40-44            0.001702        0.002866        0.002280
2005-2009     45-49            0.002662        0.004670        0.003640
2005-2009     50-54            0.004109        0.007855        0.005915
2005-2009     55-59            0.006192        0.012478        0.009193
2005-2009     60-64            0.009366        0.019317        0.014034
2005-2009     65-69            0.013718        0.028734        0.020495
2005-2009     70-74            0.021121        0.042865        0.030351
2005-2009     75-79            0.036632        0.067333        0.048629
