ARG, Exposure to risk (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1995-1999       17           1655641.48      1692713.01      3348354.49
1995-1999       18           1651566.01      1685339.33      3336905.34
1995-1999       19           1629660.80      1660097.75      3289758.55
1995-1999       20           1590341.69      1617531.04      3207872.74
1995-1999       21           1538237.08      1562396.06      3100633.14
1995-1999       22           1481733.11      1503191.41      2984924.52
1995-1999       23           1428227.07      1447217.65      2875444.73
1995-1999       24           1380455.59      1397243.53      2777699.12
1995-1999       25           1338193.50      1353004.00      2691197.50
1995-1999       26           1300968.62      1313908.57      2614877.18
1995-1999       27           1268328.82      1279422.08      2547750.91
1995-1999       28           1240242.47      1249319.41      2489561.88
1995-1999       29           1217291.00      1224227.31      2441518.31
1995-1999       30           1199835.33      1204421.42      2404256.75
1995-1999       31           1187102.56      1188950.47      2376053.03
1995-1999       32           1177125.83      1175415.97      2352541.80
1995-1999       33           1168143.86      1161325.38      2329469.23
1995-1999       34           1159474.86      1145713.02      2305187.88
1995-1999       35           1150903.30      1128319.71      2279223.01
1995-1999       36           1142288.54      1109890.77      2252179.31
1995-1999       37           1133606.80      1092242.00      2225848.80
1995-1999       38           1124704.17      1076796.20      2201500.38
1995-1999       39           1115277.44      1063905.43      2179182.87
1995-1999       40           1105082.52      1052997.35      2158079.87
1995-1999       41           1093777.87      1043216.95      2136994.82
1995-1999       42           1080868.91      1032825.39      2113694.30
1995-1999       43           1065833.05      1019951.88      2085784.93
1995-1999       44           1048439.61      1003905.41      2052345.02
1995-1999       45           1028716.57       984632.61      2013349.18
1995-1999       46           1007118.90       962855.61      1969974.50
1995-1999       47            984251.43       939730.14      1923981.57
1995-1999       48            960432.35       915988.25      1876420.60
1995-1999       49            935809.08       891888.70      1827697.77
1995-1999       50            910633.86       867225.88      1777859.74
1995-1999       51            885371.73       842507.11      1727878.84
1995-1999       52            860721.78       818108.07      1678829.85
1995-1999       53            837514.13       793775.15      1631289.28
1995-1999       54            816155.46       769914.56      1586070.02
1995-1999       55            796745.65       746569.77      1543315.42
1995-1999       56            779032.24       723844.57      1502876.81
1995-1999       57            762939.17       702359.97      1465299.15
1995-1999       58            748654.44       682342.49      1430996.93
1995-1999       59            736010.97       663908.44      1399919.41
1995-1999       60            724790.74       646511.19      1371301.93
1995-1999       61            714721.08       630212.03      1344933.10
1995-1999       62            705306.89       614755.41      1320062.31
1995-1999       63            696026.99       599228.44      1295255.43
1995-1999       64            686405.99       583480.78      1269886.77
1995-1999       65            676290.48       567374.35      1243664.83
1995-1999       66            665526.70       550785.75      1216312.45
1995-1999       67            653262.07       533072.79      1186334.86
1995-1999       68            638781.42       513252.78      1152034.21
1995-1999       69            621771.69       491075.33      1112847.01
1995-1999       70            602026.28       466452.93      1068479.21
1995-1999       71            579532.15       439554.78      1019086.93
1995-1999       72            554036.68       410693.16       964729.84
1995-1999       73            525505.49       380136.34       905641.83
1995-1999       74            493862.79       348357.61       842220.41
1995-1999       75            459275.73       316130.30       775406.03
1995-1999       76            423356.78       284370.20       707726.99
1995-1999       77            387861.86       254152.69       642014.55
1995-1999       78            353981.18       226210.53       580191.72
1995-1999       79            323787.76       200660.60       524448.36
1995-1999       80            306516.93       178139.54       484656.46
1995-1999       81            287731.15       160593.07       448324.22
1995-1999       82            268798.66       144268.45       413067.12
1995-1999       83            247481.72       128078.07       375559.80
1995-1999       84            223078.33       111370.89       334449.22
1995-1999       85            196127.43        94343.20       290470.63
1995-1999       86            168218.35        78036.31       246254.66
1995-1999       87            141271.62        63188.67       204460.29
1995-1999       88            116331.84        50091.52       166423.36
1995-1999       89             93850.05        38988.27       132838.33
1995-1999       90             74448.19        29869.34       104317.53
1995-1999       91             58229.82        22464.51        80694.34
1995-1999       92             44612.35        16562.49        61174.83
1995-1999       93             33439.72        11994.71        45434.42
1995-1999       94             24569.59         8521.14        33090.73
1995-1999       95             17438.81         5862.28        23301.09
1995-1999       96             11833.87         3936.98        15770.84
1995-1999       97              7799.52         2600.53        10400.05
1995-1999       98              5079.65         1687.99         6767.63
1995-1999       99              3120.71          987.58         4108.29
1995-1999      100              1825.84          522.85         2348.69
1995-1999      101              1080.15          305.68         1385.83
1995-1999      102               621.08          173.60          794.68
1995-1999      103               339.73           94.22          433.95
1995-1999      104               178.98           48.92          227.90
1995-1999      105                91.34           23.84          115.18
1995-1999      106                44.34           10.43           54.77
1995-1999      107                19.72            3.28           23.00
1995-1999      108                 7.37            0.75            8.12
1995-1999      109                 1.53            0.14            1.67
1995-1999      110+                0.13            0.00            0.13
2000-2004        0           1675375.79      1765118.97      3440494.76
2000-2004        1           1659863.24      1741271.69      3401134.93
2000-2004        2           1664581.89      1739727.23      3404309.12
2000-2004        3           1673485.15      1742379.23      3415864.38
2000-2004        4           1682640.34      1746920.01      3429560.35
2000-2004        5           1690355.50      1752379.09      3442734.58
2000-2004        6           1696021.27      1756897.03      3452918.30
2000-2004        7           1698865.86      1759024.37      3457890.22
2000-2004        8           1699431.88      1759023.72      3458455.60
2000-2004        9           1698547.88      1757355.79      3455903.66
2000-2004       10           1696052.72      1754015.62      3450068.33
2000-2004       11           1690154.92      1747228.63      3437383.55
2000-2004       12           1681631.83      1737563.75      3419195.58
2000-2004       13           1670248.28      1724673.62      3394921.90
2000-2004       14           1655926.85      1708549.68      3364476.53
2000-2004       15           1639038.55      1689619.23      3328657.77
