ARG, Exposure to risk (period 5x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1994        0           1655227.91      1735918.81      3391146.72
1990-1994      1-4           6674922.78      6926802.18     13601724.96
1990-1994      5-9           8086319.18      8349875.04     16436194.21
1990-1994     10-14          8235178.93      8448697.94     16683876.87
1990-1994     15-19          7481846.52      7632194.35     15114040.86
1990-1994     20-24          6388909.12      6486569.46     12875478.58
1990-1994     25-29          5922008.18      5948744.47     11870752.65
1990-1994     30-34          5705925.30      5554367.81     11260293.11
1990-1994     35-39          5444896.51      5243458.52     10688355.03
1990-1994     40-44          4985630.54      4821820.64      9807451.18
1990-1994     45-49          4398366.06      4257579.92      8655945.97
1990-1994     50-54          3934912.03      3742782.69      7677694.72
1990-1994     55-59          3682224.83      3375078.17      7057303.00
1990-1994     60-64          3479293.16      3054229.12      6533522.27
1990-1994     65-69          3065242.19      2518846.46      5584088.65
1990-1994     70-74          2419350.63      1798889.54      4218240.16
1990-1994     75-79          1776165.46      1161258.49      2937423.95
1990-1994     80-84          1165440.45       651282.31      1816722.76
1990-1994     85-89           534227.33       257350.52       791577.85
1990-1994     90-94           162563.22        65767.85       228331.07
1990-1994     95-99            27610.70        10153.37        37764.07
1990-1994    100-104            2352.79          790.31         3143.11
1990-1994    105-109              90.18           27.23          117.40
1990-1994    110+                  0.00            0.00            0.00
1995-1999        0           1634347.56      1719868.02      3354215.58
1995-1999      1-4           6599633.34      6892869.86     13492503.19
1995-1999      5-9           8375058.07      8671142.63     17046200.70
1995-1999     10-14          8098439.60      8345948.30     16444387.89
1995-1999     15-19          8211898.29      8396282.68     16608180.97
1995-1999     20-24          7418994.55      7527579.69     14946574.24
1995-1999     25-29          6365024.41      6419881.36     12784905.77
1995-1999     30-34          5891682.43      5875826.26     11767508.69
1995-1999     35-39          5666780.25      5471154.12     11137934.37
1995-1999     40-44          5394001.96      5152896.97     10546898.93
1995-1999     45-49          4916328.32      4695095.30      9611423.63
1995-1999     50-54          4310396.95      4091530.77      8401927.72
1995-1999     55-59          3823382.47      3519025.25      7342407.72
1995-1999     60-64          3527251.69      3074187.84      6601439.53
1995-1999     65-69          3255632.36      2655561.00      5911193.36
1995-1999     70-74          2754963.40      2045194.82      4800158.22
1995-1999     75-79          1948263.32      1281524.33      3229787.65
1995-1999     80-84          1333606.79       722450.02      2056056.81
1995-1999     85-89           715799.28       324647.97      1040447.26
1995-1999     90-94           235299.66        89412.19       324711.85
1995-1999     95-99            45272.55        15075.35        60347.90
1995-1999    100-104            4045.78         1145.26         5191.04
1995-1999    105-109             164.30           38.44          202.74
1995-1999    110+                  0.13            0.00            0.13
2000-2004        0           1675375.79      1765118.97      3440494.76
2000-2004      1-4           6680570.62      6970298.17     13650868.79
2000-2004      5-9           8483222.37      8784679.99     17267902.36
2000-2004     10-14          8394014.60      8672031.28     17066045.88
2000-2004     15-19          8098494.49      8322997.66     16421492.15
2000-2004     20-24          8179077.94      8316156.31     16495234.25
2000-2004     25-29          7373932.72      7437716.55     14811649.28
2000-2004     30-34          6337014.57      6351560.31     12688574.88
2000-2004     35-39          5856472.97      5800755.12     11657228.09
2000-2004     40-44          5618631.60      5380139.21     10998770.81
2000-2004     45-49          5326650.32      5031767.64     10358417.96
2000-2004     50-54          4822573.47      4521090.08      9343663.55
2000-2004     55-59          4191795.08      3863150.94      8054946.03
2000-2004     60-64          3671676.45      3224113.60      6895790.05
2000-2004     65-69          3318551.80      2695520.84      6014072.64
2000-2004     70-74          2954281.45      2173752.10      5128033.55
2000-2004     75-79          2340247.59      1511013.95      3851261.53
2000-2004     80-84          1408857.15       778756.02      2187613.17
