ARG, Deaths (period 5x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1999        0             62434.00        81788.00       144222.00
1990-1999      1-4             10444.00        12813.00        23257.00
1990-1999      5-9              4059.00         5733.00         9792.00
1990-1999     10-14             4266.00         6766.00        11032.00
1990-1999     15-19             7305.00        16508.00        23813.00
1990-1999     20-24             8384.00        20729.00        29113.00
1990-1999     25-29             9168.00        20509.00        29677.00
1990-1999     30-34            11180.00        21432.00        32612.00
1990-1999     35-39            15215.00        26087.00        41302.00
1990-1999     40-44            21558.00        37193.00        58751.00
1990-1999     45-49            28711.00        53684.00        82395.00
1990-1999     50-54            37398.00        74897.00       112295.00
1990-1999     55-59            48687.00       100875.00       149562.00
1990-1999     60-64            68799.00       137196.00       205995.00
1990-1999     65-69            96081.00       170281.00       266362.00
1990-1999     70-74           126437.00       185747.00       312184.00
1990-1999     75-79           160828.00       180906.00       341734.00
1990-1999     80-84           186594.00       155962.00       342556.00
1990-1999     85-89           160784.00       101569.00       262353.00
1990-1999     90-94            83663.00        39823.00       123486.00
1990-1999     95-99            23569.73         9189.66        32759.39
1990-1999    100-104            2867.90          919.20         3787.10
1990-1999    105-109             164.37           49.89          214.26
1990-1999    110+                  0.00            0.00            0.00
2000-2009        0             44986.00        57930.00       102916.00
2000-2009      1-4              7641.00         9123.00        16764.00
2000-2009      5-9              3797.00         4980.00         8777.00
2000-2009     10-14             4166.00         6171.00        10337.00
2000-2009     15-19             7269.00        17937.00        25206.00
2000-2009     20-24             8072.00        23997.00        32069.00
2000-2009     25-29             9262.00        23005.00        32267.00
2000-2009     30-34            11153.00        22676.00        33829.00
2000-2009     35-39            14310.00        25238.00        39548.00
2000-2009     40-44            20206.00        33650.00        53856.00
2000-2009     45-49            29733.00        50815.00        80548.00
2000-2009     50-54            42892.00        77333.00       120225.00
2000-2009     55-59            56156.00       105397.00       161553.00
2000-2009     60-64            71979.00       134743.00       206722.00
2000-2009     65-69            94180.00       164149.00       258329.00
2000-2009     70-74           132504.00       199027.00       331531.00
2000-2009     75-79           183962.00       218307.00       402269.00
2000-2009     80-84           223878.00       193172.00       417050.00
2000-2009     85-89           215813.00       131615.00       347428.00
2000-2009     90-94           141397.00        61483.00       202880.00
2000-2009     95-99            49067.00        15979.00        65046.00
2000-2009    100-104            7304.23         1877.32         9181.55
2000-2009    105-109             476.52          113.67          590.19
2000-2009    110+                  8.22            0.00            8.22
2010-2013        0             15162.00        19258.00        34420.00
2010-2013      1-4              2455.00         3095.00         5550.00
2010-2013      5-9              1245.00         1667.00         2912.00
2010-2013     10-14             1554.00         2270.00         3824.00
2010-2013     15-19             3183.00         8213.00        11396.00
2010-2013     20-24             3440.00        10864.00        14304.00
2010-2013     25-29             3752.00         9763.00        13515.00
2010-2013     30-34             5046.00        10186.00        15232.00
2010-2013     35-39             6251.00        10954.00        17205.00
2010-2013     40-44             8182.00        13419.00        21601.00
2010-2013     45-49            11807.00        19051.00        30858.00
2010-2013     50-54            17133.00        28834.00        45967.00
2010-2013     55-59            24424.00        42904.00        67328.00
2010-2013     60-64            33288.00        57723.00        91011.00
2010-2013     65-69            41884.00        70165.00       112049.00
2010-2013     70-74            53430.00        78330.00       131760.00
2010-2013     75-79            72058.00        85154.00       157212.00
2010-2013     80-84           100591.00        87624.00       188215.00
2010-2013     85-89           107794.00        66920.00       174714.00
2010-2013     90-94            71771.00        31282.00       103053.00
2010-2013     95-99            28084.00         8447.00        36531.00
2010-2013    100-104            4928.26         1145.02         6073.28
2010-2013    105-109             395.13           79.72          474.85
2010-2013    110+                 12.63            0.25           12.88
