ARG, Exposure to risk (period 1x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1999        0           3289575.47      3455786.83      6745362.30
1990-1999        1           3306627.89      3455482.99      6762110.88
1990-1999        2           3320317.87      3459397.78      6779715.64
1990-1999        3           3324588.66      3456195.09      6780783.76
1990-1999        4           3323021.70      3448596.18      6771617.88
1990-1999        5           3315060.83      3435507.62      6750568.45
1990-1999        6           3303930.89      3419844.72      6723775.61
1990-1999        7           3291813.57      3403476.70      6695290.27
1990-1999        8           3280024.62      3387635.78      6667660.40
1990-1999        9           3270547.34      3374552.85      6645100.18
1990-1999       10           3265325.29      3365884.57      6631209.86
1990-1999       11           3266893.89      3363640.15      6630534.04
1990-1999       12           3271356.75      3363884.96      6635241.71
1990-1999       13           3270582.67      3358575.37      6629158.04
1990-1999       14           3259459.93      3342661.19      6602121.11
1990-1999       15           3236685.74      3314818.40      6551504.13
1990-1999       16           3201007.59      3273695.44      6474703.04
1990-1999       17           3151349.80      3218327.21      6369677.00
1990-1999       18           3088995.47      3150239.09      6239234.56
1990-1999       19           3015706.21      3071396.89      6087103.11
1990-1999       20           2932442.45      2982910.80      5915353.25
1990-1999       21           2842988.10      2888669.62      5731657.72
1990-1999       22           2754736.29      2795939.28      5550675.57
1990-1999       23           2674083.47      2710786.79      5384870.26
1990-1999       24           2603653.36      2635842.66      5239496.02
1990-1999       25           2543725.49      2571367.92      5115093.41
1990-1999       26           2493545.68      2516494.77      5010040.45
1990-1999       27           2451198.32      2468866.66      4920064.98
1990-1999       28           2414788.29      2425742.73      4840531.02
1990-1999       29           2383774.82      2386153.75      4769928.57
1990-1999       30           2358195.30      2349796.06      4707991.36
1990-1999       31           2337133.96      2316243.17      4653377.12
1990-1999       32           2318580.88      2284684.79      4603265.67
1990-1999       33           2300777.57      2254349.37      4555126.95
1990-1999       34           2282920.02      2225120.68      4508040.70
1990-1999       35           2264544.03      2196664.70      4461208.74
1990-1999       36           2245286.20      2169217.33      4414503.54
1990-1999       37           2224594.23      2142785.96      4367380.18
1990-1999       38           2201583.09      2116493.84      4318076.93
1990-1999       39           2175669.21      2089450.81      4265120.02
1990-1999       40           2146588.71      2060842.86      4207431.57
1990-1999       41           2114319.93      2030570.15      4144890.08
1990-1999       42           2078947.97      1997942.36      4076890.32
1990-1999       43           2040517.48      1962157.39      4002674.87
1990-1999       44           1999258.42      1923204.86      3922463.28
1990-1999       45           1955333.22      1880993.73      3836326.96
1990-1999       46           1909382.44      1836414.36      3745796.80
1990-1999       47           1862622.14      1790820.18      3653442.32
1990-1999       48           1816280.09      1745032.14      3561312.22
1990-1999       49           1771076.49      1699414.81      3470491.30
1990-1999       50           1727265.60      1653574.46      3380840.06
1990-1999       51           1685297.11      1608541.59      3293838.71
1990-1999       52           1645818.89      1565169.07      3210987.95
1990-1999       53           1609686.59      1523333.87      3133020.45
1990-1999       54           1577240.79      1483694.47      3060935.26
1990-1999       55           1548319.94      1445989.49      2994309.43
1990-1999       56           1522463.30      1410322.50      2932785.79
1990-1999       57           1499058.07      1377036.03      2876094.09
1990-1999       58           1477732.48      1345422.76      2823155.24
1990-1999       59           1458033.52      1315332.65      2773366.17
1990-1999       60           1439540.65      1285764.42      2725305.07
