"Year","Age","Triangle","Cohort","Population","Deaths"
1990,92,2,1897,2038.1,271
1990,93,1,1897,1513.46,271
1990,93,2,1896,1466.83,207
1990,94,1,1896,1055.05,181
1990,94,2,1895,988.28,138
1990,95,1,1895,706.03,128
1990,95,2,1894,659.79,98
1990,96,1,1894,475.78,92
1990,96,2,1893,460.78,71
1990,97,1,1893,327.55,73
1990,97,2,1892,321.33,56
1990,98,1,1892,224.08,51
1990,98,2,1891,222.83,40
1990,99,1,1891,137.13,54
1990,99,2,1890,134.43,43
1990,100,1,1890,73.45,21.84
1990,100,2,1889,73.14,17.68
1990,101,1,1889,44.14,14.24
1990,101,2,1888,44.22,11.39
1990,102,1,1888,25.77,9.07
1990,102,2,1887,25.89,7.17
1990,103,1,1887,14.64,5.64
1990,103,2,1886,14.98,4.41
1990,104,1,1886,8.2,3.43
1990,104,2,1885,8.47,2.65
1990,105,1,1885,4.2,2.04
1990,105,2,1884,4.13,1.56
1990,106,1,1884,1.79,1.18
1990,106,2,1883,1.9,0.89
1990,107,1,1883,0.69,0.67
1990,107,2,1882,0.87,0.5
1990,108,1,1882,0.19,0.37
1990,108,2,1881,0.27,0.27
1990,109,1,1881,0,0
1990,109,2,1880,0,0
1990,110,1,1880,0,0
1990,110,2,1879,0,0
1990,111,1,1879,0,0
1990,111,2,1878,0,0
1990,112,1,1878,0,0
1990,112,2,1877,0,0
1990,113,1,1877,0,0
1990,113,2,1876,0,0
1990,114,1,1876,0,0
1990,114,2,1875,0,0
1990,115,1,1875,0,0
1990,115,2,1874,0,0
1990,116,1,1874,0,0
1990,116,2,1873,0,0
1990,117,1,1873,0,0
1990,117,2,1872,0,0
1990,118,1,1872,0,0
1990,118,2,1871,0,0
1990,119,1,1871,0,0
1990,119,2,1870,0,0
1990,120,1,1870,0,0
1990,120,2,1869,0,0
1990,121,1,1869,0,0
1990,121,2,1868,0,0
1990,122,1,1868,0,0
1990,122,2,1867,0,0
1990,123,1,1867,0,0
1990,123,2,1866,0,0
1990,124,1,1866,0,0
1990,124,2,1865,0,0
1990,125,1,1865,0,0
1990,125,2,1864,0,0
1990,126,1,1864,0,0
1990,126,2,1863,0,0
1990,127,1,1863,0,0
1990,127,2,1862,0,0
1990,128,1,1862,0,0
1990,128,2,1861,0,0
1990,129,1,1861,0,0
1990,129,2,1860,0,0
1990,130,1,1860,0,0
1990,130,2,1859,0,0
1991,0,1,1991,357175,7912
1991,0,2,1990,351994.58,1164
1991,1,1,1990,354440.71,425
1991,1,2,1989,358277.94,279
1991,2,1,1989,351704.41,177
1991,2,2,1988,346416.47,123
1991,3,1,1988,342113.58,129
1991,3,2,1987,338095.53,95
1991,4,1,1987,335630.72,88
1991,4,2,1986,332968.65,68
1991,5,1,1986,331877.05,74
1991,5,2,1985,330459.46,60
1991,6,1,1985,330328.31,66
1991,6,2,1984,330070.29,56
1991,7,1,1984,330612.96,60
1991,7,2,1983,331343.15,53
1991,8,1,1983,332377.28,59
1991,8,2,1982,333707.92,53
1991,9,1,1982,334993.41,56
1991,9,2,1981,336452.84,53
1991,10,1,1981,337993.33,60
1991,10,2,1980,339549.21,57
1991,11,1,1980,341578.29,54
1991,11,2,1979,343508.93,53
1991,12,1,1979,344326.95,55
1991,12,2,1978,345218.46,54
1991,13,1,1978,342261.26,77
1991,13,2,1977,339922.11,76
1991,14,1,1977,333324.76,83
1991,14,2,1976,327806.52,83
1991,15,1,1976,320074.58,110
1991,15,2,1975,313442.39,110
1991,16,1,1975,305868.31,117
1991,16,2,1974,299178.34,117
1991,17,1,1974,292141.74,142
1991,17,2,1973,285761.33,141
1991,18,1,1973,280376.53,149
1991,18,2,1972,275361.91,145
1991,19,1,1972,271693.45,158
1991,19,2,1971,268206,152
1991,20,1,1971,264984.09,180
1991,20,2,1970,262025.82,171
1991,21,1,1970,258530.75,157
1991,21,2,1969,255490.35,147
1991,22,1,1969,252260.03,160
1991,22,2,1968,249563.48,148
1991,23,1,1968,247067.1,167
1991,23,2,1967,245078.88,154
1991,24,1,1967,243277.62,162
1991,24,2,1966,241904.63,149
1991,25,1,1966,240469.65,194
1991,25,2,1965,239449.54,178
1991,26,1,1965,238230.27,161
1991,26,2,1964,237418.18,148
1991,27,1,1964,236189.2,154
1991,27,2,1963,235363,141
1991,28,1,1963,233625.57,178
1991,28,2,1962,232403.11,164
1991,29,1,1962,230152.65,171
1991,29,2,1961,228519.04,158
1991,30,1,1961,226174.09,203
1991,30,2,1960,224474.89,188
1991,31,1,1960,222247.18,173
1991,31,2,1959,220631.61,161
1991,32,1,1959,218617.71,183
1991,32,2,1958,217156.32,171
1991,33,1,1958,215680.09,185
1991,33,2,1957,214668.17,173
1991,34,1,1957,213690.05,209
1991,34,2,1956,213119.77,197
1991,35,1,1956,212255.05,218
1991,35,2,1955,211815.98,205
1991,36,1,1955,210903.49,223
1991,36,2,1954,210445.13,210
1991,37,1,1954,209273.23,248
1991,37,2,1953,208621.3,235
1991,38,1,1953,206785.35,249
1991,38,2,1952,205579.81,237
1991,39,1,1952,203094.63,278
1991,39,2,1951,201323.23,265
1991,40,1,1951,198586.67,352
1991,40,2,1950,196624.75,336
1991,41,1,1950,193936.13,318
1991,41,2,1949,191994.23,304
1991,42,1,1949,189290.33,377
1991,42,2,1948,187319.88,360
1991,43,1,1948,184643.6,366
1991,43,2,1947,182714.99,349
1991,44,1,1947,180120.42,405
1991,44,2,1946,178290.2,385
1991,45,1,1946,175627.49,476
1991,45,2,1945,173826.79,452
1991,46,1,1945,171160.65,484
1991,46,2,1944,169406.73,457
1991,47,1,1944,166747.83,507
1991,47,2,1943,165054.96,476
1991,48,1,1943,162452.85,544
1991,48,2,1942,160898.3,509
1991,49,1,1942,158365.93,592
1991,49,2,1941,156958.66,551
1991,50,1,1941,154426.74,674
1991,50,2,1940,153131.4,625
1991,51,1,1940,150638.28,695
1991,51,2,1939,149436.68,642
1991,52,1,1939,147043.58,704
1991,52,2,1938,145976.18,649
1991,53,1,1938,143840.48,747
1991,53,2,1937,143111.43,687
1991,54,1,1937,141222.75,817
1991,54,2,1936,140830.42,750
1991,55,1,1936,138973.75,937
1991,55,2,1935,138772.19,860
1991,56,1,1935,136815.22,1006
1991,56,2,1934,136691.58,924
1991,57,1,1934,134699.83,947
1991,57,2,1933,134587.02,869
1991,58,1,1933,132534.51,1102
1991,58,2,1932,132438.81,1013
1991,59,1,1932,130294.64,1209
1991,59,2,1931,130271.26,1113
1991,60,1,1931,127945.71,1396
1991,60,2,1930,127951.89,1286
1991,61,1,1930,125560.33,1334
1991,61,2,1929,125628.5,1226
1991,62,1,1929,122938.04,1392
1991,62,2,1928,122804.18,1275
1991,63,1,1928,119525.68,1417
1991,63,2,1927,118952.89,1295
1991,64,1,1927,115102.25,1544
1991,64,2,1926,114112.3,1405
1991,65,1,1926,109936.54,1613
1991,65,2,1925,108758.86,1459
1991,66,1,1925,104599.34,1604
1991,66,2,1924,103422.63,1444
1991,67,1,1924,99113.31,1662
1991,67,2,1923,97820.96,1489
1991,68,1,1923,93376,1718
1991,68,2,1922,92083.56,1531
1991,69,1,1922,87502.89,1737
1991,69,2,1921,86273.61,1541
1991,70,1,1921,81602.25,1832
1991,70,2,1920,80457.37,1619
1991,71,1,1920,75774.57,1747
1991,71,2,1919,74731.71,1539
1991,72,1,1919,70030.2,1706
1991,72,2,1918,69066.96,1498
1991,73,1,1918,64530.49,1657
1991,73,2,1917,63707.85,1455
1991,74,1,1917,59289.88,1718
1991,74,2,1916,58519.16,1512
1991,75,1,1916,54346.79,1720
1991,75,2,1915,53677.69,1514
1991,76,1,1915,49763.82,1804
1991,76,2,1914,49185.52,1587
1991,77,1,1914,45498.77,1879
1991,77,2,1913,45105.66,1655
1991,78,1,1913,41623.88,1827
1991,78,2,1912,41424.31,1607
1991,79,1,1912,38319.5,1676
1991,79,2,1911,38379.5,1464
1991,80,1,1911,33413.94,1755
1991,80,2,1910,32418.5,1521
1991,81,1,1910,28807.61,1566
1991,81,2,1909,28063.71,1346
1991,82,1,1909,24845.55,1522
1991,82,2,1908,24271.4,1298
1991,83,1,1908,20958.46,1443
1991,83,2,1907,20162.53,1219
1991,84,1,1907,17384.12,1302
1991,84,2,1906,16913.71,1089
1991,85,1,1906,14553.19,1195
1991,85,2,1905,14267.68,986
1991,86,1,1905,12093.67,1104
1991,86,2,1904,11800.67,895
1991,87,1,1904,9731.22,974
1991,87,2,1903,9336.78,780
1991,88,1,1903,7487.77,830
1991,88,2,1902,7074.76,656
1991,89,1,1902,5680.84,714
1991,89,2,1901,5499.92,557
1991,90,1,1901,4368.13,570
