"Year","Age","Triangle","Cohort","Population","Deaths"
1990,93,1,1897,3718.7,544
1990,93,2,1896,3608.09,418
1990,94,1,1896,2722.22,433
1990,94,2,1895,2582.35,328
1990,95,1,1895,1894.03,333
1990,95,2,1894,1781.72,248
1990,96,1,1894,1281.82,258
1990,96,2,1893,1219.92,190
1990,97,1,1893,864.71,181
1990,97,2,1892,831.51,132
1990,98,1,1892,582.79,131
1990,98,2,1891,560.08,94
1990,99,1,1891,355.24,126
1990,99,2,1890,333.4,89
1990,100,1,1890,194.75,53.76
1990,100,2,1889,188.47,43.38
1990,101,1,1889,114.25,34.74
1990,101,2,1888,111.03,27.62
1990,102,1,1888,65.21,21.78
1990,102,2,1887,64.06,17.06
1990,103,1,1887,36.25,13.26
1990,103,2,1886,35.71,10.22
1990,104,1,1886,19.46,7.83
1990,104,2,1885,19.39,5.95
1990,105,1,1885,10.17,4.49
1990,105,2,1884,10.26,3.36
1990,106,1,1884,4.81,2.5
1990,106,2,1883,4.57,1.85
1990,107,1,1883,2.06,1.36
1990,107,2,1882,2.39,0.99
1990,108,1,1882,0.89,0.72
1990,108,2,1881,0.88,0.51
1990,109,1,1881,0.18,0.37
1990,109,2,1880,0.26,0.26
1990,110,1,1880,0,0
1990,110,2,1879,0,0
1990,111,1,1879,0,0
1990,111,2,1878,0,0
1990,112,1,1878,0,0
1990,112,2,1877,0,0
1990,113,1,1877,0,0
1990,113,2,1876,0,0
1990,114,1,1876,0,0
1990,114,2,1875,0,0
1990,115,1,1875,0,0
1990,115,2,1874,0,0
1990,116,1,1874,0,0
1990,116,2,1873,0,0
1990,117,1,1873,0,0
1990,117,2,1872,0,0
1990,118,1,1872,0,0
1990,118,2,1871,0,0
1990,119,1,1871,0,0
1990,119,2,1870,0,0
1990,120,1,1870,0,0
1990,120,2,1869,0,0
1990,121,1,1869,0,0
1990,121,2,1868,0,0
1990,122,1,1868,0,0
1990,122,2,1867,0,0
1990,123,1,1867,0,0
1990,123,2,1866,0,0
1990,124,1,1866,0,0
1990,124,2,1865,0,0
1990,125,1,1865,0,0
1990,125,2,1864,0,0
1990,126,1,1864,0,0
1990,126,2,1863,0,0
1990,127,1,1863,0,0
1990,127,2,1862,0,0
1990,128,1,1862,0,0
1990,128,2,1861,0,0
1990,129,1,1861,0,0
1990,129,2,1860,0,0
1990,130,1,1860,0,0
1990,130,2,1859,0,0
1991,0,1,1991,337412,5888
1991,0,2,1990,338306.94,967
1991,1,1,1990,342259.9,384
1991,1,2,1989,347223.35,272
1991,2,1,1989,340548.38,177
1991,2,2,1988,335196.78,131
1991,3,1,1988,330899.59,96
1991,3,2,1987,326866.06,74
1991,4,1,1987,324477.56,67
1991,4,2,1986,321807.5,53
1991,5,1,1986,320854.68,55
1991,5,2,1985,319467.66,45
1991,6,1,1985,319529.21,45
1991,6,2,1984,319334.21,38
1991,7,1,1984,320119.68,38
1991,7,2,1983,320942.35,33
1991,8,1,1983,322249.12,39
1991,8,2,1982,323696.88,34
1991,9,1,1982,325281.43,37
1991,9,2,1981,326877.32,33
1991,10,1,1981,328740.1,44
1991,10,2,1980,330446.02,39
1991,11,1,1980,332814.58,39
1991,11,2,1979,334916.16,35
1991,12,1,1979,336080.86,34
1991,12,2,1978,337153.06,31
1991,13,1,1978,334533.52,52
1991,13,2,1977,332369.35,48
1991,14,1,1977,326098.57,50
1991,14,2,1976,320735.56,46
1991,15,1,1976,313342.85,57
1991,15,2,1975,306847.54,53
1991,16,1,1975,299643.58,75
1991,16,2,1974,293122.05,70
1991,17,1,1974,286437.42,73
1991,17,2,1973,280199.11,68
1991,18,1,1973,275121.66,68
1991,18,2,1972,270175.69,64
1991,19,1,1972,266776.93,67
1991,19,2,1971,263311.84,64
1991,20,1,1971,260365.73,75
1991,20,2,1970,257415.07,72
1991,21,1,1970,254224.09,70
1991,21,2,1969,251215.21,67
1991,22,1,1969,248319.71,60
1991,22,2,1968,245683.07,57
1991,23,1,1968,243568.64,74
1991,23,2,1967,241683.76,70
1991,24,1,1967,240308.36,81
1991,24,2,1966,239100.71,76
1991,25,1,1966,238115.19,80
1991,25,2,1965,237270.31,75
1991,26,1,1965,236461.69,81
1991,26,2,1964,235812.57,76
1991,27,1,1964,235087.63,94
1991,27,2,1963,234555.41,87
1991,28,1,1963,233690.58,103
1991,28,2,1962,233066.34,95
1991,29,1,1962,232043.74,96
1991,29,2,1961,231295.29,89
1991,30,1,1961,230272.92,91
1991,30,2,1960,229515.41,84
1991,31,1,1960,228574.96,99
1991,31,2,1959,227871.16,92
1991,32,1,1959,226906.86,110
1991,32,2,1958,226178.07,103
1991,33,1,1958,225131.7,116
1991,33,2,1957,224333.84,109
1991,34,1,1957,223185.37,119
1991,34,2,1956,222289.35,112
1991,35,1,1956,221053.21,130
1991,35,2,1955,220073.09,123
1991,36,1,1955,218789.56,132
1991,36,2,1954,217761.4,125
1991,37,1,1954,216263.45,164
1991,37,2,1953,215061.34,155
1991,38,1,1953,213118.84,175
1991,38,2,1952,211556.45,165
1991,39,1,1952,209219.06,184
1991,39,2,1951,207307.92,173
1991,40,1,1951,204808.45,189
1991,40,2,1950,202729.56,177
1991,41,1,1950,200217.78,205
1991,41,2,1949,198117.86,191
1991,42,1,1949,195542.29,227
1991,42,2,1948,193403.61,212
1991,43,1,1948,190746.86,237
1991,43,2,1947,188549.9,222
1991,44,1,1947,185861.96,228
1991,44,2,1946,183636.97,213
1991,45,1,1946,180943.47,241
1991,45,2,1945,178733.18,226
1991,46,1,1945,176043.45,262
1991,46,2,1944,173884.29,248
1991,47,1,1944,171327.55,272
1991,47,2,1943,169321.52,259
1991,48,1,1943,167082.41,292
1991,48,2,1942,165399.14,279
1991,49,1,1942,163496.35,273
1991,49,2,1941,162148.49,262
1991,50,1,1941,160387.16,329
1991,50,2,1940,159228.3,317
1991,51,1,1940,157479.71,352
1991,51,2,1939,156422.55,338
1991,52,1,1939,154786.75,352
1991,52,2,1938,153892.46,338
1991,53,1,1938,152533.94,365
1991,53,2,1937,151944.12,349
1991,54,1,1937,150832.16,345
1991,54,2,1936,150473.88,329
1991,55,1,1936,149447.79,430
1991,55,2,1935,149235.15,408
1991,56,1,1935,148152.37,449
1991,56,2,1934,147982.32,424
1991,57,1,1934,146846.33,463
1991,57,2,1933,146679.04,435
1991,58,1,1933,145536.58,522
1991,58,2,1932,145449.39,489
1991,59,1,1932,144236.18,553
1991,59,2,1931,144144.88,517
1991,60,1,1931,142828.55,612
1991,60,2,1930,142699.42,571
1991,61,1,1930,141309.2,661
1991,61,2,1929,141172.17,615
1991,62,1,1929,139501.15,722
1991,62,2,1928,139217.09,671
1991,63,1,1928,137004.83,754
1991,63,2,1927,136344.93,699
1991,64,1,1927,133601.85,842
1991,64,2,1926,132531.37,780
1991,65,1,1926,129517.58,849
1991,65,2,1925,128237.19,786
1991,66,1,1925,125156.59,865
1991,66,2,1924,123796.87,799
